date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:08	1007557/1007557	---M--	200	added ('OK')	image/jpeg	etag:%22129ed50-f5fc5-45e46b7f74580%22	http://conf.agile-france.org/images/xpdayfr08_10.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_10.jpg	(from http://conf.agile-france.org/)
22:25:32	960433/960433	---M--	200	added ('OK')	image/jpeg	etag:%22129ed51-ea7b1-45e46b8cce500%22	http://conf.agile-france.org/images/xpdayfr08_11.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_11.jpg	(from http://conf.agile-france.org/)
22:25:58	891755/891755	---M--	200	added ('OK')	image/jpeg	etag:%22129ed52-d9b6b-45e46b8eb6980%22	http://conf.agile-france.org/images/xpdayfr08_12.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_12.jpg	(from http://conf.agile-france.org/)
22:27:27	858286/858286	---M--	200	added ('OK')	image/jpeg	etag:%22129ed54-d18ae-45e46b9fe1200%22	http://conf.agile-france.org/images/xpdayfr08_14.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_14.jpg	(from http://conf.agile-france.org/)
22:27:31	1035024/1035024	---M--	200	added ('OK')	image/jpeg	etag:%22129ed53-fcb10-45e46ba0d5440%22	http://conf.agile-france.org/images/xpdayfr08_13.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_13.jpg	(from http://conf.agile-france.org/)
22:27:38	779982/779982	---M--	200	added ('OK')	image/jpeg	etag:%22129ed55-be6ce-45e46bad3b180%22	http://conf.agile-france.org/images/xpdayfr08_15.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_15.jpg	(from http://conf.agile-france.org/)
22:28:40	1008136/1008136	---M--	200	added ('OK')	image/jpeg	etag:%22129ed56-f6208-45e46bb2f3f00%22	http://conf.agile-france.org/images/xpdayfr08_16.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_16.jpg	(from http://conf.agile-france.org/)
22:29:39	794588/794588	---M--	200	added ('OK')	image/jpeg	etag:%22129ed58-c1fdc-45e46bc1420c0%22	http://conf.agile-france.org/images/xpdayfr08_18.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_18.jpg	(from http://conf.agile-france.org/)
22:30:11	945048/945048	---M--	200	added ('OK')	image/jpeg	etag:%22129ed59-e6b98-45e46bd360b80%22	http://conf.agile-france.org/images/xpdayfr08_19.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_19.jpg	(from http://conf.agile-france.org/)
22:30:18	43575/43575	---M--	200	added ('OK')	image/png	etag:%22129ed29-aa37-45e9198e117c0%22	http://conf.agile-france.org/images/programme_magnified.png	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/programme_magnified.png	(from http://conf.agile-france.org/)
